row_index,query_title,query_year,tmdb_id,matched_title,original_title,release_date,budget_usd,revenue_usd,profit_usd,revenue_to_budget_ratio,runtime_min,vote_average,vote_count,popularity,genres,keywords,status,original_language,imdb_id,homepage,found,_error
542,The Wild Bunch,1969.0,576.0,The Wild Bunch,The Wild Bunch,1969-06-19,6244087.0,638641.0,-5605446.0,0.1023,145.0,7.605,1258.0,3.2397,Western,"underdog, friendship, bounty hunter, robbery, texas, mexican revolution, honor, gang, shootout, soldier, steam locomotive, righteous rage",Released,en,tt0065214,,True,
543,Night of the Living Dead,1968.0,10331.0,Night of the Living Dead,Night of the Living Dead,1968-10-04,114000.0,30000000.0,29886000.0,263.1579,96.0,7.616,2565.0,3.8845,Horror,"sibling relationship, pennsylvania, usa, loss of loved one, gun, gas station, cemetery, cellar, halloween, house, barricade, zombie, black and white, trapped, bitten, farm house, frantic, satirical, anxious, intense, foreboding, frightened, horrified, zombies",Released,en,tt0063350,,True,
544,The Lion in Winter,1968.0,18988.0,The Lion in Winter,The Lion in Winter,1968-08-20,0.0,0.0,,,134.0,7.382,378.0,3.7753,"Drama, History","infidelity, france, england, queen, castle, based on play or musical, richard the lionheart, unfaithfulness, mistress, king, spear, homoeroticism, christmas, 12th century, eleanor of aquitaine, gay theme",Released,en,tt0063227,,True,
545,In the Heat of the Night,1967.0,10633.0,In the Heat of the Night,In the Heat of the Night,1967-08-02,2000000.0,27379978.0,25379978.0,13.69,109.0,7.648,1159.0,3.1126,"Crime, Drama, Mystery, Thriller","small town, southern usa, police chief, stolen money, racial segregation, racist, murder, youth gang, racism, whodunit, poverty, false accusations, police station, racial tension, bigotry, autopsy room, red herring, railroad station, white supremacists, nymphette, bigot, deep south, cotton plantation, southern small town, rumble, illegal abortionist, petty thief, jumping to conclusions",Released,en,tt0061811,,True,
546,Charade,1963.0,4808.0,Charade,Charade,1963-12-01,4000000.0,13475000.0,9475000.0,3.3687,113.0,7.667,1446.0,3.2534,"Comedy, Mystery, Romance","central intelligence agency (cia), paris, france, espionage, age difference, loss of loved one, widow, spy, interpreter, stamp, caper, whodunit, train, alias, screwball comedy, caper comedy, alps mountains, notre dame cathedral, american spy",Released,en,tt0056923,,True,
547,The Manchurian Candidate,1962.0,982.0,The Manchurian Candidate,The Manchurian Candidate,1962-10-24,2200000.0,7700000.0,5500000.0,3.5,126.0,7.524,748.0,3.3927,"Thriller, Drama","cold war, korean war (1950-53), stepparents, conspiracy, brainwashed assassin, brainwashing, black and white, election, presidential candidate, sleeper agent, queen of diamonds, korea",Released,en,tt0056218,,True,
548,Spartacus,1960.0,967.0,Spartacus,Spartacus,1960-10-13,12000000.0,60000000.0,48000000.0,5.0,197.0,7.5,2257.0,5.8165,"History, War, Drama, Adventure","epic, gladiator, roman empire, gladiator fight, slavery, insurgence, ancient rome, historical fiction, torture, ancient world, slave, technicolor, escaped slave, 1st century",Released,en,tt0054331,,True,
549,L'avventura,1960.0,5165.0,L'Avventura,L'avventura,1960-09-14,0.0,0.0,,,144.0,7.5,718.0,1.7575,"Drama, Mystery, Romance","island, mediterranean, police, architect, black and white, boating trip",Released,it,tt0053619,,True,
550,Hiroshima mon amour,1959.0,5544.0,Hiroshima Mon Amour,Hiroshima mon amour,1959-06-10,0.0,3193.0,,,92.0,7.7,857.0,3.9652,"Drama, History, Romance","new love, france, atomic bomb, return, lover, architect, hiroshima, japan, black and white, family, extramarital affair, anti war, nouvelle vague",Released,fr,tt0052893,,True,
551,The Ten Commandments,1956.0,6844.0,The Ten Commandments,The Ten Commandments,1956-10-05,13000000.0,122700000.0,109700000.0,9.4385,220.0,7.768,1733.0,6.8762,"Drama, History","epic, egypt, israel, moses, ten commandments, christianity, slavery, miracle, bible, judaism, religion, ancient egypt, technicolor, old testament, pharaoh, passover, christian film, 13th century bc, biblical epic",Released,en,tt0049833,,True,
552,The Searchers,1956.0,3114.0,The Searchers,The Searchers,1956-05-16,3750000.0,0.0,,,119.0,7.702,1487.0,2.9676,Western,"brother, native american, uncle, racist, prejudice, racism, massacre, desert, cavalry, reverend, comanche, technicolor, civil war veteran, abduction",Released,en,tt0049730,,True,
553,East of Eden,1955.0,220.0,East of Eden,East of Eden,1955-04-10,0.0,0.0,,,115.0,7.5,774.0,2.4962,Drama,"individual, california, sibling relationship, based on novel or book, southern usa, birthday, rebel, big wheel, twin brother, love, money, brother against brother, brothel madam, whorehouse, beans, 1910s, fraternal twins, monterey, salinas, mother son reunion",Released,en,tt0048028,,True,
554,High Noon,1952.0,288.0,High Noon,High Noon,1952-06-09,730000.0,8000000.0,7270000.0,10.9589,85.0,7.667,1498.0,3.508,"Western, Drama","small town, gunslinger, showdown, fistfight, u.s. marshal, shootout, morality, black and white, battle, justice, one against many, quick draw, brawl, ticking clock",Released,en,tt0044706,,True,
555,Strangers on a Train,1951.0,845.0,Strangers on a Train,Strangers on a Train,1951-06-27,1200000.0,7000000.0,5800000.0,5.8333,101.0,7.667,1769.0,4.6733,"Crime, Thriller","infidelity, island, based on novel or book, perfect crime, psychopath, obsession, detective, suspicion, theory, carousel , lighter, film noir, stalking, black and white, train, strangulation, double cross, amusement park, husband wife estrangement, chance meeting, cocktail party, fiancée, perfect murder, penn station, storm drain, tennis match, tennis pro, trains, murder swap",Released,en,tt0044079,https://www.warnerbros.com/movies/strangers-train,True,
556,Harvey,1950.0,11787.0,Harvey,Harvey,1950-12-04,0.0,0.0,,,104.0,7.7,645.0,2.5906,"Comedy, Fantasy","sanatorium, based on play or musical, imaginary friend, mental institution, black and white, police officer, rabbit, mental illness, screwball comedy, commitment, brother sister relationship",Released,en,tt0042546,,True,
557,Miracle on 34th Street,1947.0,11881.0,Miracle on 34th Street,Miracle on 34th Street,1947-06-04,630000.0,2700000.0,2070000.0,4.2857,96.0,7.4,785.0,2.6337,"Comedy, Drama, Family","court, judge, parent child relationship, holiday, department store, santa claus, thanksgiving, psychologist, lawyer, little girl, black and white, single mother, district attorney, skepticism, holiday season, commercialism, christmas, rationalism, loss of faith, mother daughter relationship",Released,en,tt0039628,,True,
